id	language	choices_file	clause_wo	np_wo	alignment	alignment_code	comp_system	comp_system_code	strategy	strategy_code	anc_choice_word_order	anc_iv_order	anc_tv_order
00	00_sov_gn_ac_b_se	00_sov_gn_ac_b_se.choice	sov	gn	nom-acc	ac	balancing	b	sent	se	sov	SV	APV
01	01_sov_gn_ac_b_pa	01_sov_gn_ac_b_pa.choice	sov	gn	nom-acc	ac	balancing	b	poss-acc	pa	sov	SV	APV
02	02_sov_gn_ac_b_ep	02_sov_gn_ac_b_ep.choice	sov	gn	nom-acc	ac	balancing	b	erg-poss	ep	sov	SV	APV
03	03_sov_gn_ac_b_no	03_sov_gn_ac_b_no.choice	sov	gn	nom-acc	ac	balancing	b	nomn	no	sov	SV	APV
04	04_sov_gn_ac_d_se	04_sov_gn_ac_d_se.choice	sov	gn	nom-acc	ac	deranking	d	sent	se	sov	SV	APV
05	05_sov_gn_ac_d_pa	05_sov_gn_ac_d_pa.choice	sov	gn	nom-acc	ac	deranking	d	poss-acc	pa	sov	SV	APV
06	06_sov_gn_ac_d_ep	06_sov_gn_ac_d_ep.choice	sov	gn	nom-acc	ac	deranking	d	erg-poss	ep	sov	SV	APV
07	07_sov_gn_ac_d_no	07_sov_gn_ac_d_no.choice	sov	gn	nom-acc	ac	deranking	d	nomn	no	sov	SV	APV
08	08_sov_gn_er_b_se	08_sov_gn_er_b_se.choice	sov	gn	erg-abs	er	balancing	b	sent	se	sov	SV	APV
09	09_sov_gn_er_b_pa	09_sov_gn_er_b_pa.choice	sov	gn	erg-abs	er	balancing	b	poss-acc	pa	sov	SV	APV
10	10_sov_gn_er_b_ep	10_sov_gn_er_b_ep.choice	sov	gn	erg-abs	er	balancing	b	erg-poss	ep	sov	SV	APV
11	11_sov_gn_er_b_no	11_sov_gn_er_b_no.choice	sov	gn	erg-abs	er	balancing	b	nomn	no	sov	SV	APV
12	12_sov_gn_er_d_se	12_sov_gn_er_d_se.choice	sov	gn	erg-abs	er	deranking	d	sent	se	sov	SV	APV
13	13_sov_gn_er_d_pa	13_sov_gn_er_d_pa.choice	sov	gn	erg-abs	er	deranking	d	poss-acc	pa	sov	SV	APV
14	14_sov_gn_er_d_ep	14_sov_gn_er_d_ep.choice	sov	gn	erg-abs	er	deranking	d	erg-poss	ep	sov	SV	APV
15	15_sov_gn_er_d_no	15_sov_gn_er_d_no.choice	sov	gn	erg-abs	er	deranking	d	nomn	no	sov	SV	APV
16	16_sov_ng_ac_b_se	16_sov_ng_ac_b_se.choice	sov	ng	nom-acc	ac	balancing	b	sent	se	sov	SV	APV
17	17_sov_ng_ac_b_pa	17_sov_ng_ac_b_pa.choice	sov	ng	nom-acc	ac	balancing	b	poss-acc	pa	ovs	VS	PVA
18	18_sov_ng_ac_b_ep	18_sov_ng_ac_b_ep.choice	sov	ng	nom-acc	ac	balancing	b	erg-poss	ep	vos	VS	AVP
19	19_sov_ng_ac_b_no	19_sov_ng_ac_b_no.choice	sov	ng	nom-acc	ac	balancing	b	nomn	no	ovs	VS	PVA
20	20_sov_ng_ac_d_se	20_sov_ng_ac_d_se.choice	sov	ng	nom-acc	ac	deranking	d	sent	se	sov	SV	APV
21	21_sov_ng_ac_d_pa	21_sov_ng_ac_d_pa.choice	sov	ng	nom-acc	ac	deranking	d	poss-acc	pa	ovs	VS	PVA
22	22_sov_ng_ac_d_ep	22_sov_ng_ac_d_ep.choice	sov	ng	nom-acc	ac	deranking	d	erg-poss	ep	vos	VS	AVP
23	23_sov_ng_ac_d_no	23_sov_ng_ac_d_no.choice	sov	ng	nom-acc	ac	deranking	d	nomn	no	ovs	VS	PVA
24	24_sov_ng_er_b_se	24_sov_ng_er_b_se.choice	sov	ng	erg-abs	er	balancing	b	sent	se	sov	SV	APV
25	25_sov_ng_er_b_pa	25_sov_ng_er_b_pa.choice	sov	ng	erg-abs	er	balancing	b	poss-acc	pa	ovs	VS	PVA
26	26_sov_ng_er_b_ep	26_sov_ng_er_b_ep.choice	sov	ng	erg-abs	er	balancing	b	erg-poss	ep	vos	VS	AVP
27	27_sov_ng_er_b_no	27_sov_ng_er_b_no.choice	sov	ng	erg-abs	er	balancing	b	nomn	no	ovs	VS	PVA
28	28_sov_ng_er_d_se	28_sov_ng_er_d_se.choice	sov	ng	erg-abs	er	deranking	d	sent	se	sov	SV	APV
29	29_sov_ng_er_d_pa	29_sov_ng_er_d_pa.choice	sov	ng	erg-abs	er	deranking	d	poss-acc	pa	ovs	VS	PVA
30	30_sov_ng_er_d_ep	30_sov_ng_er_d_ep.choice	sov	ng	erg-abs	er	deranking	d	erg-poss	ep	vos	VS	AVP
31	31_sov_ng_er_d_no	31_sov_ng_er_d_no.choice	sov	ng	erg-abs	er	deranking	d	nomn	no	ovs	VS	PVA
32	32_svo_gn_ac_b_se	32_svo_gn_ac_b_se.choice	svo	gn	nom-acc	ac	balancing	b	sent	se	svo	SV	AVP
33	33_svo_gn_ac_b_pa	33_svo_gn_ac_b_pa.choice	svo	gn	nom-acc	ac	balancing	b	poss-acc	pa	svo	SV	AVP
34	34_svo_gn_ac_b_ep	34_svo_gn_ac_b_ep.choice	svo	gn	nom-acc	ac	balancing	b	erg-poss	ep	sov	SV	PVA
35	35_svo_gn_ac_b_no	35_svo_gn_ac_b_no.choice	svo	gn	nom-acc	ac	balancing	b	nomn	no	svo	SV	AVP
36	36_svo_gn_ac_d_se	36_svo_gn_ac_d_se.choice	svo	gn	nom-acc	ac	deranking	d	sent	se	svo	SV	AVP
37	37_svo_gn_ac_d_pa	37_svo_gn_ac_d_pa.choice	svo	gn	nom-acc	ac	deranking	d	poss-acc	pa	svo	SV	AVP
38	38_svo_gn_ac_d_ep	38_svo_gn_ac_d_ep.choice	svo	gn	nom-acc	ac	deranking	d	erg-poss	ep	sov	SV	PVA
39	39_svo_gn_ac_d_no	39_svo_gn_ac_d_no.choice	svo	gn	nom-acc	ac	deranking	d	nomn	no	svo	SV	AVP
40	40_svo_gn_er_b_se	40_svo_gn_er_b_se.choice	svo	gn	erg-abs	er	balancing	b	sent	se	svo	SV	AVP
41	41_svo_gn_er_b_pa	41_svo_gn_er_b_pa.choice	svo	gn	erg-abs	er	balancing	b	poss-acc	pa	svo	SV	AVP
42	42_svo_gn_er_b_ep	42_svo_gn_er_b_ep.choice	svo	gn	erg-abs	er	balancing	b	erg-poss	ep	sov	SV	PVA
43	43_svo_gn_er_b_no	43_svo_gn_er_b_no.choice	svo	gn	erg-abs	er	balancing	b	nomn	no	svo	SV	AVP
44	44_svo_gn_er_d_se	44_svo_gn_er_d_se.choice	svo	gn	erg-abs	er	deranking	d	sent	se	svo	SV	AVP
45	45_svo_gn_er_d_pa	45_svo_gn_er_d_pa.choice	svo	gn	erg-abs	er	deranking	d	poss-acc	pa	svo	SV	AVP
46	46_svo_gn_er_d_ep	46_svo_gn_er_d_ep.choice	svo	gn	erg-abs	er	deranking	d	erg-poss	ep	sov	SV	PVA
47	47_svo_gn_er_d_no	47_svo_gn_er_d_no.choice	svo	gn	erg-abs	er	deranking	d	nomn	no	svo	SV	AVP
48	48_svo_ng_ac_b_se	48_svo_ng_ac_b_se.choice	svo	ng	nom-acc	ac	balancing	b	sent	se	svo	SV	AVP
49	49_svo_ng_ac_b_pa	49_svo_ng_ac_b_pa.choice	svo	ng	nom-acc	ac	balancing	b	poss-acc	pa	vos	VS	VPA
50	50_svo_ng_ac_b_ep	50_svo_ng_ac_b_ep.choice	svo	ng	nom-acc	ac	balancing	b	erg-poss	ep	vos	VS	VPA
51	51_svo_ng_ac_b_no	51_svo_ng_ac_b_no.choice	svo	ng	nom-acc	ac	balancing	b	nomn	no	vos	VS	VPA
52	52_svo_ng_ac_d_se	52_svo_ng_ac_d_se.choice	svo	ng	nom-acc	ac	deranking	d	sent	se	svo	SV	AVP
53	53_svo_ng_ac_d_pa	53_svo_ng_ac_d_pa.choice	svo	ng	nom-acc	ac	deranking	d	poss-acc	pa	vos	VS	VPA
54	54_svo_ng_ac_d_ep	54_svo_ng_ac_d_ep.choice	svo	ng	nom-acc	ac	deranking	d	erg-poss	ep	vos	VS	VPA
55	55_svo_ng_ac_d_no	55_svo_ng_ac_d_no.choice	svo	ng	nom-acc	ac	deranking	d	nomn	no	vos	VS	VPA
56	56_svo_ng_er_b_se	56_svo_ng_er_b_se.choice	svo	ng	erg-abs	er	balancing	b	sent	se	svo	SV	AVP
