source_id	source_uid	pair_id	good_stem	bad_stem	good_source	bad_source
1	transitive	1	watch	scream	I watched the door.	I screamed the door.
2	transitive	2	buy	weep	A student bought a sandwich.	A student wept a sandwich.
3	transitive	3	argueabout	go	They argued about the plan.	They went the plan.
4	transitive	4	tour	cope	Maya toured the museum.	Maya coped the museum.
5	transitive	5	wear	slumpover	The guard wore a jacket.	The guard slumpped over a jacket.
6	transitive	6	embarrass	scream	The mistake embarrassed Liam.	The mistake screamed Liam.
7	transitive	48	criticize	fall	A reviewer criticized the film.	A reviewer fell the film.
8	transitive	73	question	shrug	She questioned the witness.	She shrugged the witness.
9	transitive	9	goto	smile	The family went to the beach.	The family smiled the beach.
10	transitive	10	listento	react	I listened to the song.	I reacted the song.
11	transitive	170	climbup	talk	A child climbed up the fence.	A child talked the fence.
12	transitive	12	scan	murmur	The clerk scanned the ticket.	The clerk murmured the ticket.
13	transitive	13	tour	cry	Tourists toured the castle.	Tourists cried the castle.
14	transitive	14	insult	sigh	The guest insulted the host.	The guest sighed the host.
15	transitive	35	escapefrom	weep	The prisoner escaped from the cell.	The prisoner wept the cell.
16	transitive	16	investigate	go	A detective investigated the case.	A detective went the case.
17	transitive	118	talkabout	go	We talked about the problem.	We went the problem.
18	transitive	18	forget	murmur	He forgot the password.	He murmured the password.
19	transitive	53	astound	boast	The result astounded everyone.	The result boasted everyone.
20	transitive	150	kiss	fall	Nina kissed the baby.	Nina fell the baby.
21	transitive	117	observe	laugh	The scientist observed the comet.	The scientist laughed the comet.
22	transitive	29	explore	slumpover	They explored the island.	They slumpped over the island.
23	transitive	23	remember	flirt	I remembered the address.	I flirted the address.
24	transitive	187	describe	chuckle	The guide described the route.	The guide chuckled the route.
25	transitive	25	goto	murmur	A couple went to the market.	A couple murmured the market.
26	transitive	26	scan	concur	The nurse scanned the chart.	The nurse concurred the chart.
27	transitive	27	fire	talk	The manager fired an employee.	The manager talked an employee.
28	transitive	28	research	suffer	Students researched the topic.	Students suffered the topic.
29	transitive	49	explore	compromise	The team explored the cave.	The team compromised the cave.
30	transitive	36	distract	reply	The noise distracted the driver.	The noise replied the driver.
31	transitive	32	escapefrom	talk	A cat escaped from the house.	A cat talked the house.
32	transitive	101	runaround	scream	The dog ran around the yard.	The dog screamed the yard.
33	transitive	173	examine	communicate	The doctor examined the patient.	The doctor communicated the patient.
34	transitive	68	escapefrom	cry	The bird escaped from the cage.	The bird cried the cage.
35	transitive	121	distract	disagree	The phone distracted me.	The phone disagreed me.
36	transitive	37	admire	chuckle	Many readers admire the author.	Many readers chuckle the author.
37	transitive	38	clean	wave	The cleaner cleaned the kitchen.	The cleaner waved the kitchen.
38	transitive	39	like	go	I like the painting.	I go the painting.
39	transitive	40	resemble	compromise	The boy resembles his uncle.	The boy compromises his uncle.
40	transitive	41	sell	sigh	The shop sold fresh bread.	The shop sighed fresh bread.
41	transitive	42	alarm	shout	The siren alarmed the crowd.	The siren shouted the crowd.
42	transitive	164	notice	grin	She noticed a stain.	She grinned a stain.
43	transitive	44	thinkabout	sigh	The analyst thought about the question.	The analyst sighed the question.
44	transitive	74	heal	talk	The medicine healed the wound.	The medicine talked the wound.
45	transitive	46	hurt	fall	The fall hurt him.	The fall fell him.
46	transitive	47	know	react	They know the answer.	They react the answer.
