source_id	source_uid	pair_id	good_stem	bad_stem	good_source	bad_source
1	intransitive	105	yawn	arriveat	I yawned.	I arrived at.
2	intransitive	1	leave	boastabout	The bus left.	The bus boasted about.
3	intransitive	3	shout	boastabout	A guard shouted.	A guard boasted about.
4	intransitive	4	complain	wear	Several neighbors complained.	Several neighbors wore.
5	intransitive	5	benefit	argueabout	The whole team benefited.	The whole team argued about.
6	intransitive	6	vaporize	scare	The mist vaporized.	The mist scared.
7	intransitive	127	succeed	goto	Maya succeeded.	Maya went to.
8	intransitive	8	scream	driveto	A child screamed.	A child drove to.
9	intransitive	73	crumple	resemble	The paper crumpled.	The paper resembled.
10	intransitive	10	cook	goto	The soup cooked.	The soup went to.
11	intransitive	12	scorch	scare	The toast scorched.	The toast scared.
12	intransitive	13	paint	walkthrough	A student painted.	A student walked through.
13	intransitive	14	brighten	resemble	The room brightened.	The room resembled.
14	intransitive	15	succeed	scare	Daniel succeeded.	Daniel scared.
15	intransitive	16	collaborate	goto	The researchers collaborated.	The researchers went to.
16	intransitive	17	blacken	resemble	The sky blackened.	The sky resembled.
17	intransitive	19	die	arriveat	The old tree died.	The old tree arrived at.
18	intransitive	112	crumple	looklike	The receipt crumpled.	The receipt looked like.
19	intransitive	218	fall	lift	A glass fell.	A glass lifted.
20	intransitive	22	clash	arriveat	The schedules clashed.	The schedules arrived at.
21	intransitive	23	chip	scare	The cup chipped.	The cup scared.
22	intransitive	25	cooperate	boastabout	Both groups cooperated.	Both groups boasted about.
23	intransitive	154	dim	scare	The lamp dimmed.	The lamp scared.
24	intransitive	27	learn	dislike	A beginner learned.	A beginner disliked.
25	intransitive	220	donate	scare	Many residents donated.	Many residents scared.
26	intransitive	29	hunt	examine	The cat hunted.	The cat examined.
27	intransitive	195	argue	arriveat	Two lawyers argued.	Two lawyers arrived at.
28	intransitive	31	embrace	respect	The couple embraced.	The couple respected.
29	intransitive	203	depart	talkto	The train departed.	The train talked to.
30	intransitive	235	fall	soundlike	A leaf fell.	A leaf sounded like.
31	intransitive	36	murmur	goto	The crowd murmured.	The crowd went to.
32	intransitive	38	shatter	looklike	The window shattered.	The window looked like.
33	intransitive	39	lie	examine	The baby lay.	The baby examined.
34	intransitive	40	compete	conceal	Three runners competed.	Three runners concealed.
35	intransitive	138	wakeup	talkto	She woke up.	She talked to.
36	intransitive	42	kiss	examine	The teenagers kissed.	The teenagers examined.
37	intransitive	43	concur	carefor	The committee concurred.	The committee cared for.
38	intransitive	44	blink	boastabout	A kitten blinked.	A kitten boasted about.
39	intransitive	45	die	argueabout	The fish died.	The fish argued about.
40	intransitive	46	play	cure	The children played.	The children cured.
41	intransitive	47	answer	reveal	He answered.	He revealed.
42	intransitive	141	debate	looklike	The candidates debated.	The candidates looked like.
43	intransitive	49	assemble	dislike	The guests assembled.	The guests disliked.
44	intransitive	50	litter	escapefrom	The campers littered.	The campers escaped from.
45	intransitive	28	donate	conceal	A visitor donated.	A visitor concealed.
46	intransitive	148	negotiate	talkabout	The leaders negotiated.	The leaders talked about.
47	intransitive	53	rot	resemble	The fruit rotted.	The fruit resembled.
48	intransitive	55	protest	conceal	The workers protested.	The workers concealed.
49	intransitive	56	darken	looklike	The hallway darkened.	The hallway looked like.
50	intransitive	57	drink	goto	The guests drank.	The guests went to.
51	intransitive	229	sitdown	disagreewith	The customer sat down.	The customer disagreed with.
52	intransitive	59	lie	complainabout	A dog lay.	A dog complained about.
53	intransitive	60	move	listento	The line moved.	The line listened to.
54	intransitive	208	wash	talkabout	The towels washed.	The towels talked about.
55	intransitive	63	murmur	examine	People murmured.	People examined.
56	intransitive	174	salute	boastabout	The soldiers saluted.	The soldiers boasted about.
57	intransitive	65	warp	scare	The board warped.	The board scared.
58	intransitive	196	wakeup	dislike	I woke up.	I disliked.
59	intransitive	68	answer	talkabout	The receptionist answered.	The receptionist talked about.
60	intransitive	69	tighten	resemble	The rope tightened.	The rope resembled.
61	intransitive	70	reply	arriveat	She replied.	She arrived at.
62	intransitive	71	char	resemble	The wood charred.	The wood resembled.
63	intransitive	72	standup	arriveat	The audience stood up.	The audience arrived at.
64	intransitive	9	crumple	looklike	The napkin crumpled.	The napkin looked like.
65	intransitive	74	steer	scare	The boat steered.	The boat scared.
66	intransitive	75	blink	listento	The owl blinked.	The owl listened to.
67	intransitive	79	smile	dropby	The baby smiled.	The baby dropped by.
68	intransitive	77	darken	scare	The room darkened.	The room scared.
69	intransitive	78	fling	looklike	The loose strap flung wildly.	The loose strap looked like wildly.
70	intransitive	76	smile	admire	The clerk smiled.	The clerk admired.
